,202402
601339.SH,-0.3056050552428161
603718.SH,-0.3056188995176273
600419.SH,-0.3059825651275544
000545.SZ,-0.3065966925585387
600137.SH,-0.3066180539732917
002114.SZ,-0.306998154512351
000566.SZ,-0.30706271785116396
603601.SH,-0.30741150439805814
600889.SH,-0.3074594880706712
603989.SH,-0.30764483135615844
002626.SZ,-0.3076853601497138
002598.SZ,-0.30790835584612053
603566.SH,-0.3079567928147774
600261.SH,-0.3083595673094853
600526.SH,-0.30919519328093487
002741.SZ,-0.3093636315468722
000949.SZ,-0.30949259075162017
002378.SZ,-0.3095135507488269
002394.SZ,-0.31010703698297265
600292.SH,-0.3103101866453069
002455.SZ,-0.3106835911847565
000910.SZ,-0.31086462710307794
002193.SZ,-0.3109716042753712
002646.SZ,-0.3113033454440405
002089.SZ,-0.31160334200015116
600746.SH,-0.31187743285287045
600234.SH,-0.31196882347040983
002627.SZ,-0.3124092056104336
600359.SH,-0.3125360115649506
002207.SZ,-0.3126481454885494
600697.SH,-0.3127771437216028
601218.SH,-0.3129498017985029
002631.SZ,-0.3129578989127216
600573.SH,-0.3131599453304789
000501.SZ,-0.31367977742357467
000062.SZ,-0.3136849421325787
600058.SH,-0.31398795077397534
002732.SZ,-0.3140977628317837
000900.SZ,-0.3143096351279529
600391.SH,-0.3164464345065215
002541.SZ,-0.3164542810691571
002225.SZ,-0.3167538590271426
600527.SH,-0.3167547412984224
000551.SZ,-0.31684277259759946
600758.SH,-0.3169000078609018
002666.SZ,-0.31742182922350526
002571.SZ,-0.3179618333420856
601069.SH,-0.31820877935669734
600756.SH,-0.3182605233182592
002344.SZ,-0.3184439752586917
002095.SZ,-0.3185720693917151
002170.SZ,-0.3186158119485464
600810.SH,-0.3186837179595371
000505.SZ,-0.31869480478487694
601199.SH,-0.3190910927688427
002265.SZ,-0.3193692586229093
002136.SZ,-0.31974287440281335
000663.SZ,-0.31975012842317263
000905.SZ,-0.3199889794490177
000652.SZ,-0.3200281469308835
000920.SZ,-0.32026707171781266
002029.SZ,-0.32048267939641206
600682.SH,-0.32066909886257855
002069.SZ,-0.3208550411510681
600662.SH,-0.32198311404118474
603567.SH,-0.32215405584650714
002388.SZ,-0.32225061661028337
600279.SH,-0.32242477521130786
600693.SH,-0.32262225140913037
002623.SZ,-0.32284942745616785
000823.SZ,-0.32324567113345654
002529.SZ,-0.3234069618437995
000040.SZ,-0.3235851278042666
600990.SH,-0.32360896063392064
600694.SH,-0.3237475979421355
000985.SZ,-0.3239183739070742
000869.SZ,-0.32423709143254426
002758.SZ,-0.3242474456398392
601177.SH,-0.3243917185541186
600727.SH,-0.324549152579783
002231.SZ,-0.3247490523963043
000688.SZ,-0.32479794169989856
002025.SZ,-0.3249546226751814
002435.SZ,-0.32505341353402434
002307.SZ,-0.3253834496745959
000726.SZ,-0.3258923035635797
601008.SH,-0.32618483568693807
603166.SH,-0.326606922998395
600713.SH,-0.3267984401021032
002469.SZ,-0.3274449775811357
000731.SZ,-0.327947917853382
600533.SH,-0.3283090000985059
600550.SH,-0.3284547385009385
600992.SH,-0.3285391508249477
600618.SH,-0.32886142452943284
601007.SH,-0.3301365152314872
603698.SH,-0.33014335342063195
002723.SZ,-0.3304072070779802
600665.SH,-0.3306987062604255
002140.SZ,-0.3307828759253324
002328.SZ,-0.33080872355703583
600897.SH,-0.33098456389794173
603678.SH,-0.3311355157592717
000049.SZ,-0.3312382313361246
600976.SH,-0.33140056272985885
002454.SZ,-0.33176408071626534
002006.SZ,-0.3320162910319765
000906.SZ,-0.33242172763427535
002554.SZ,-0.3327488535012424
002748.SZ,-0.3329189443478117
002102.SZ,-0.3334592065720932
603309.SH,-0.333521671134445
600305.SH,-0.3335776549905761
600180.SH,-0.33398631902092085
