,tapi,atr,vma,cdp,expma
000553.SZ,"111,130,512.0919",1.8500,"75,897,214.2000",6.2200,6.8950
000554.SZ,"470,134,268.4719",1.8900,"475,088,861.2000",5.1367,5.7843
000555.SZ,"196,690,199.5288",2.9500,"224,189,614.4000",8.9433,10.3800
000557.SZ,"191,531,130.1454",1.2800,"195,537,808.2000",4.2467,4.6104
000558.SZ,"386,482,712.4811",0.6500,"604,813,178.8000",2.5300,2.7849
000559.SZ,"353,625,778.5218",1.1100,"357,403,066.4000",4.5733,4.9217
000560.SZ,"825,714,856.1437",0.5200,"878,441,332.8000",1.7233,2.1306
000561.SZ,"143,132,827.6891",2.4600,"151,840,723.0000",6.6567,7.8442
000563.SZ,"1,120,252,472.1456",0.5500,"782,023,470.0000",2.9667,3.0574
000564.SZ,"2,884,108,562.5287",0.3600,"3,439,453,964.6000",1.6667,1.5750
000565.SZ,"320,268,959.3159",1.5100,"156,153,985.0000",4.3267,5.3110
000566.SZ,"245,965,737.7541",1.0800,"267,454,846.8000",3.5267,4.1584
000567.SZ,"128,083,037.7480",2.8700,"108,503,535.8000",9.2633,10.6363
000568.SZ,"151,815,222.2679",35.8800,"155,931,003.8000",163.8833,181.9639
000570.SZ,"359,264,201.7207",1.6600,"589,081,626.6000",4.9300,5.5404
000571.SZ,"307,451,308.4118",1.0700,"460,985,854.2000",2.2833,2.6116
000572.SZ,"915,921,523.3397",1.5800,"1,460,035,113.4000",3.7733,4.4509
000573.SZ,"336,722,974.2966",1.1100,"250,750,634.2000",2.5767,3.1203
000576.SZ,"95,719,457.1326",2.5000,"95,336,285.8000",6.4533,8.1448
000581.SZ,"243,936,713.2522",3.0000,"161,833,680.2000",16.8833,16.4778
000582.SZ,"190,237,519.2470",0.9700,"197,642,337.4000",7.3267,7.5353
000584.SZ,"318,053,243.1236",0.9800,"242,343,917.2000",2.5967,3.4668
000586.SZ,"103,593,532.3000",6.2300,"73,646,638.2000",9.7233,11.9022
000589.SZ,"434,487,401.7699",1.3400,"400,190,152.8000",5.4133,5.9181
000590.SZ,"156,515,234.6372",2.7900,"137,709,812.2000",6.3167,7.8690
000591.SZ,"692,127,930.3419",1.2000,"510,759,626.4000",5.2267,5.5197
000592.SZ,"1,267,716,389.5275",0.5900,"1,471,248,548.6000",2.0900,2.3594
000593.SZ,"181,129,987.6835",2.4000,"345,727,537.0000",4.9467,6.4263
000595.SZ,"495,011,071.4585",2.0500,"476,506,091.6000",4.3033,4.7935
000596.SZ,"28,961,302.2236",33.2300,"26,256,075.2000",215.8267,231.4983
000597.SZ,"272,750,373.0000",1.0900,"282,940,860.6000",4.4400,4.9649
000598.SZ,"521,148,661.7348",1.0400,"378,110,355.8000",5.9767,5.7963
000599.SZ,"309,856,039.9404",1.2400,"281,233,381.6000",3.5033,4.0948
000600.SZ,"399,959,691.0920",1.2300,"351,217,365.8000",4.5667,5.1197
000601.SZ,"247,887,789.8080",1.0700,"162,233,594.6000",3.3667,3.9648
000603.SZ,"161,154,737.8217",2.5200,"186,049,303.4000",8.6467,10.5820
000605.SZ,"174,140,107.0127",2.1100,"162,663,220.2000",4.6800,5.6365
000607.SZ,"289,313,170.4523",1.4100,"293,488,327.4000",3.6367,4.3426
000608.SZ,"477,224,185.5769",1.0500,"314,108,757.8000",2.0900,2.5697
000609.SZ,"343,147,748.2089",2.1900,"657,949,638.2000",4.4700,5.6133
000610.SZ,"164,884,341.0277",3.0100,"251,303,787.8000",11.3400,13.1746
000612.SZ,"310,612,376.9000",1.0900,"241,983,936.8000",4.5700,5.1595
000615.SZ,"306,929,317.8957",1.0200,"460,146,978.4000",2.9333,3.4712
000617.SZ,"2,292,932,593.0726",1.2700,"1,502,346,889.8000",5.8900,6.0988
000619.SZ,"199,519,039.7622",1.4000,"278,623,364.0000",4.7800,5.7575
000620.SZ,"497,348,190.4533",0.3100,"505,500,638.6000",1.5167,1.6535
000622.SZ,"398,767,899.8339",1.4100,"267,271,455.0000",2.7933,3.7114
000623.SZ,"249,735,467.5395",2.5300,"195,336,872.2000",14.6567,15.3512
000625.SZ,"3,395,742,144.8638",3.7700,"4,748,141,883.0000",13.9567,15.0731
000626.SZ,"136,013,743.6058",2.3200,"100,205,058.4000",4.9800,6.3146
000627.SZ,"661,484,231.4338",0.7100,"576,125,613.8000",2.5500,2.8403
000628.SZ,"493,774,030.8755",41.7400,"652,294,768.2000",59.8967,50.8155
000629.SZ,"1,399,378,259.5611",0.8200,"992,240,561.4000",2.9900,3.2611
000630.SZ,"2,825,824,428.9268",0.5300,"2,207,904,238.0000",3.2300,3.1717
000631.SZ,"448,060,787.1655",0.7800,"672,170,792.2000",2.6933,3.0776
000632.SZ,"312,885,691.6108",1.5100,"435,086,922.2000",3.1367,3.9428
000633.SZ,"130,122,703.1343",1.8600,"224,949,222.6000",5.0533,6.3363
000635.SZ,"241,743,666.2463",4.0200,"195,132,857.4000",7.4500,8.6182
000636.SZ,"270,068,030.8967",3.7500,"180,249,621.6000",11.0633,12.7690
000637.SZ,"125,329,407.7445",0.7400,"96,298,009.8000",3.0433,3.3668
000638.SZ,"446,934,659.8855",2.2900,"419,193,261.4000",4.5400,5.7669
000639.SZ,"252,357,621.8062",0.9900,"214,333,934.0000",3.1067,3.8862
000650.SZ,"401,654,405.6719",1.5100,"530,416,474.4000",6.0400,6.4374
000651.SZ,"705,206,706.9734",4.7100,"673,739,629.0000",37.6733,35.8909
000652.SZ,"180,689,143.7232",0.6900,"270,661,281.8000",3.4033,3.7699
000655.SZ,"178,082,995.1570",1.6600,"135,367,919.0000",5.5667,6.4592
000656.SZ,"4,241,554,682.1529",0.6000,"7,320,256,099.8000",1.4833,1.6532
000657.SZ,"243,102,532.1054",1.9300,"268,961,366.6000",7.8933,8.5984
000659.SZ,"386,983,423.7696",1.0900,"298,000,885.4000",2.0200,2.3749
000661.SZ,"73,751,448.0488",25.9900,"98,314,587.8000",122.3833,135.1797
000663.SZ,"231,114,916.9002",2.2500,"146,673,042.8000",6.0333,7.5392
000665.SZ,"337,053,217.3030",1.3300,"430,106,585.8000",3.8300,4.5159
000668.SZ,"99,406,643.5062",4.0000,"78,124,391.2000",7.3667,10.0059
000669.SZ,"271,427,140.9063",0.5000,"431,407,393.8000",1.6133,1.8790
000670.SZ,"439,461,174.1627",1.7500,"714,602,191.6000",4.9467,5.9208
000672.SZ,"119,425,496.1739",1.5000,"130,591,304.8000",7.3100,8.0831
000676.SZ,"1,509,896,244.4523",2.4500,"2,288,737,423.6000",6.8000,7.4946
000677.SZ,"332,333,979.4184",0.8100,"654,175,822.4000",2.2733,2.7754
000678.SZ,"407,450,689.1639",2.2500,"369,653,559.0000",5.1000,5.9024
000679.SZ,"276,642,212.5387",2.0000,"305,572,180.2000",3.8533,4.8631
000680.SZ,"791,155,406.0770",1.3000,"576,806,586.8000",6.1200,5.5578
000681.SZ,"477,621,720.3971",4.4700,"572,627,479.6000",12.6300,13.8965
000682.SZ,"198,752,478.9299",2.3500,"247,543,338.4000",7.7233,8.0303
000683.SZ,"677,769,164.8298",1.6400,"639,322,335.4000",5.6433,6.0789
000685.SZ,"217,779,289.7655",1.0000,"169,542,754.8000",7.2767,7.4502
000686.SZ,"433,524,740.9178",1.3100,"347,343,880.0000",6.8500,7.1454
000688.SZ,"100,453,331.0621",3.2100,"98,789,328.6000",8.9500,10.2967
000690.SZ,"897,267,394.6859",0.7000,"861,110,352.0000",4.8767,4.9906
000691.SZ,"309,377,831.2212",1.7200,"216,391,449.2000",3.3167,4.1877
000692.SZ,"62,760,547.5491",0.5000,"90,697,287.0000",2.7600,2.8607
000695.SZ,"38,407,062.3095",2.8000,"36,029,212.2000",7.9700,9.9105
000697.SZ,"103,501,928.9982",1.2900,"134,995,979.6000",5.4067,5.7690
000698.SZ,"292,349,892.8464",0.9400,"366,327,066.8000",3.3033,3.8434
000700.SZ,"448,035,595.5107",2.1700,"665,180,469.6000",5.4800,6.3942
000701.SZ,"363,797,394.9655",1.7500,"372,056,886.6000",3.7233,5.0858
000702.SZ,"225,429,303.1275",2.0500,"133,137,288.4000",3.9967,5.1284
000703.SZ,"361,712,063.1633",1.9700,"223,863,457.4000",6.9500,6.8092
000705.SZ,"259,402,056.3704",2.0700,"466,554,403.8000",7.2900,8.4131
000707.SZ,"128,702,642.6755",1.6200,"138,662,541.4000",6.4833,7.3437
000708.SZ,"154,630,386.7797",1.6000,"143,829,769.0000",14.2967,14.4023
000709.SZ,"1,238,399,653.4266",0.3100,"957,953,664.6000",2.1367,2.1692
000710.SZ,"251,073,676.0403",3.9900,"361,106,404.2000",7.7400,9.8652
000711.SZ,"183,328,678.0864",0.3700,"278,608,992.2000",1.5967,1.8347
000712.SZ,"383,320,603.6432",3.0700,"858,595,451.4000",11.4767,13.0988
000713.SZ,"168,563,524.7187",1.9500,"184,817,280.2000",6.9700,7.6999
000715.SZ,"383,182,198.9076",2.0600,"361,274,037.4000",5.9933,6.8733
000716.SZ,"300,187,622.3758",1.5200,"455,141,607.2000",4.6767,5.6340
000717.SZ,"1,164,545,708.7528",1.0700,"637,782,166.6000",2.5333,2.6761
000718.SZ,"323,276,865.8439",0.4900,"302,555,457.4000",2.2733,2.5450
000719.SZ,"307,273,881.1431",2.8300,"398,528,285.2000",9.4700,10.1033
000720.SZ,"297,299,186.8127",1.4700,"161,801,202.2000",3.3600,3.9369
000721.SZ,"270,599,279.6213",2.5600,"483,572,475.0000",8.3933,10.2406
000722.SZ,"141,281,626.0430",2.8100,"167,188,100.6000",8.2467,9.3915
000723.SZ,"858,228,996.5335",2.2800,"593,913,097.2000",6.1000,6.6250
000725.SZ,"5,738,229,675.9799",0.4800,"5,913,830,727.4000",3.8567,3.8750
000726.SZ,"71,888,909.5529",0.9600,"76,738,225.0000",6.0133,6.4062
000727.SZ,"1,206,848,312.9643",0.5900,"2,748,161,640.6000",2.3633,2.4938
000728.SZ,"807,332,293.6118",1.3300,"698,631,038.2000",6.6167,6.8013
000729.SZ,"357,214,912.6941",1.6100,"309,782,937.8000",8.5567,9.1233
000731.SZ,"103,429,372.6993",1.2700,"121,581,549.8000",6.5333,7.1254
000733.SZ,"201,417,564.2035",17.9700,"156,675,555.2000",52.0167,60.2948
000735.SZ,"251,877,503.9356",1.5000,"247,561,707.4000",4.8933,5.5088
000736.SZ,"581,204,406.7980",2.4000,"426,373,064.0000",9.4333,10.5228
000737.SZ,"215,533,816.9924",1.4500,"177,373,135.4000",4.9000,5.3816
000738.SZ,"181,458,499.7988",4.5700,"136,089,389.4000",16.1733,18.6172
000739.SZ,"257,582,138.7826",3.7800,"217,176,575.2000",13.0267,14.8359
000750.SZ,"1,109,964,644.5506",0.6800,"953,708,421.2000",3.3867,3.5171
000751.SZ,"273,539,791.4389",0.6400,"248,526,381.6000",2.6467,3.0010
000752.SZ,"59,145,610.3678",1.8900,"200,310,608.8000",6.3367,6.8244
000753.SZ,"247,322,315.3405",0.9800,"234,631,278.8000",3.1200,3.8190
000755.SZ,"438,465,467.8186",1.0500,"217,197,238.8000",4.4900,4.5136
000756.SZ,"193,328,349.7875",4.7000,"374,856,199.0000",16.2900,18.6640
000757.SZ,"355,629,256.0242",1.5500,"526,019,534.2000",3.1433,4.0619
000758.SZ,"440,601,454.3253",0.8000,"331,868,039.6000",4.3633,4.5107
000759.SZ,"468,147,626.2285",1.1800,"592,669,045.8000",3.3233,3.9299
000761.SZ,"261,307,929.5756",0.7500,"216,884,514.0000",3.2367,3.5410
000762.SZ,"261,579,679.2081",6.9000,"429,382,459.8000",22.3033,24.7458
000766.SZ,"812,676,999.0527",4.8600,"1,494,410,618.6000",14.8267,15.0089
000767.SZ,"326,430,499.1287",0.5300,"346,818,633.8000",2.5967,2.8884
000768.SZ,"222,809,506.5468",3.7300,"242,469,936.8000",19.7467,21.3716
000776.SZ,"599,306,848.2877",1.6300,"545,256,223.8000",13.8033,14.2876
000777.SZ,"117,404,336.5603",3.4600,"138,946,909.0000",12.8467,13.6236
000778.SZ,"779,687,519.4127",0.6200,"711,192,372.4000",3.8233,3.8996
000779.SZ,"92,882,650.5543",2.3200,"125,138,327.4000",7.8667,9.4879
000782.SZ,"134,641,871.6689",0.8700,"170,941,808.6000",4.2900,4.9148
000783.SZ,"1,103,583,992.1727",1.1400,"652,132,990.4000",5.1933,5.4356
000785.SZ,"505,974,824.9934",0.8800,"390,939,990.6000",2.9300,3.2236
000786.SZ,"161,795,565.9961",3.3400,"238,519,325.0000",27.8100,26.4123
000788.SZ,"178,936,046.5908",1.5700,"146,588,572.4000",4.9600,5.9965
000789.SZ,"121,168,778.8748",1.3200,"99,674,089.6000",6.2300,6.9100
000790.SZ,"246,404,410.6901",1.1100,"320,981,180.8000",3.6633,4.4974
000791.SZ,"215,435,108.2680",0.7500,"197,161,536.4000",5.0000,5.3376
000792.SZ,"533,765,495.5115",3.1500,"479,180,476.4000",15.1667,16.0874
000793.SZ,"1,111,732,625.2716",0.7200,"1,237,112,878.0000",1.5200,1.9291
000795.SZ,"261,965,472.7576",1.6500,"248,508,890.0000",4.9367,5.6290
000796.SZ,"138,563,094.4281",0.7000,"172,313,126.8000",3.1233,3.5895
000797.SZ,"739,887,112.4152",0.7600,"610,750,953.0000",2.6233,2.9253
000798.SZ,"215,179,456.8581",4.0800,"174,770,633.8000",7.3233,8.6202
000799.SZ,"113,378,416.5511",13.2900,"112,667,620.2000",58.4533,69.8674
000800.SZ,"259,795,196.8950",1.5800,"479,596,320.8000",8.2400,8.6415
000801.SZ,"338,295,175.2948",3.1300,"610,024,103.8000",8.3867,8.4196
000802.SZ,"213,389,276.8381",1.8000,"437,623,052.6000",6.0067,6.3004
000803.SZ,"150,643,008.2918",1.7900,"108,172,732.6000",4.0933,5.3469
000807.SZ,"471,832,801.2026",2.1000,"650,757,028.2000",11.0533,12.1200
000809.SZ,"214,551,955.3136",1.0700,"165,747,322.0000",2.1433,2.8066
000810.SZ,"367,404,784.9513",3.7900,"478,988,367.6000",10.7767,12.4328
000811.SZ,"200,609,423.1455",3.8500,"200,107,859.2000",11.3867,12.8230
000812.SZ,"357,469,589.5436",1.3700,"403,205,755.4000",4.2533,4.8376
000813.SZ,"600,166,783.6483",0.8900,"1,063,861,517.6000",2.7500,3.1157
000815.SZ,"556,866,901.5467",5.0400,"547,905,700.4000",8.5200,9.9140
000816.SZ,"348,248,916.7879",0.6300,"342,140,371.8000",2.4833,2.8166
000818.SZ,"212,561,922.5005",11.1700,"181,047,185.8000",26.3133,29.7616
000819.SZ,"56,789,431.9419",4.2900,"49,674,251.2000",14.6000,16.6636
000820.SZ,"496,328,122.0478",2.0400,"317,868,022.6000",3.6367,3.8432
000821.SZ,"406,397,330.5493",4.5400,"542,360,201.8000",12.8800,14.4994
